Group,Long,Short,Pic
G1,Arabidopsis thaliana,A.thaliana,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Arabidopsis_thaliana.png
G2,Arbacia punctulata,A.punctulata,TBD
G3,Danio rerio,D.rerio,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Danio_rerio.png
G4,Drosophila melanogaster,D.melanogaster,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Drosophila_melanogaster.png
G5,Limulus polyphemus,L.polyphemus,TBD
G6,Macaca mulatta,M.mulatta,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Macaca_mulatta.png
G7,Mus musculus,M.musculus,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Mus_musculus.png
G8,Papilio polytes,P.polytes,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Papilio_polytes.png
G9,Spinosaurus aegyptiacus,S.aegyptiacus,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Spinosaurus_aegyptiacus.png
G10,Tetrahymena thermophila,T.thermophila,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Tetrahymena_thermophila.png
G11,Tiktaalik roseae,T.roseae,https://github.com/StefanoAllesina/BSD-QBio2/raw/master/logo_group/Tiktaalik_roseae.png
G12,Xenopus laevis,X.laevis,TBD
